Time,Open,High,Low,Close,Volume
07/28/2021 04:13:00,39712.44,39734.35,39695.25,39730.28,1053310
07/28/2021 04:14:00,39730.27,39748.64,39702.63,39729.94,942241.94
07/28/2021 04:15:00,39729.94,39799.86,39728.08,39759.33,1825387
07/28/2021 04:16:00,39759.33,39842.97,39754.25,39819.43,1636000.5
07/28/2021 04:17:00,39819.44,39844,39793.93,39836.69,701158.06
07/28/2021 04:18:00,39830.04,39843.89,39759.24,39765.42,1254637.4
07/28/2021 04:19:00,39761.01,39809.92,39733.36,39793.04,883153.94
07/28/2021 04:20:00,39793.03,39799.67,39738.05,39791.19,627187.2
07/28/2021 04:21:00,39791.2,39830.86,39791.2,39830.86,1510414
07/28/2021 04:22:00,39830.86,39862,39784.21,39784.64,1366820.9
07/28/2021 04:23:00,39784.63,39797.81,39770.26,39770.26,1275560.8
07/28/2021 04:24:00,39770.27,39807.58,39666,39699.99,1871913.1
07/28/2021 04:25:00,39700,39746,39690,39737.01,1782815.6
07/28/2021 04:26:00,39737.01,39795.92,39730.27,39747.54,2002657.9
07/28/2021 04:27:00,39747.54,39790.49,39732.54,39752.64,1887040.9
07/28/2021 04:28:00,39752.66,39799.99,39752.64,39774.91,1431172.6
07/28/2021 04:29:00,39774.92,39800,39756.01,39756.01,1118439.2
07/28/2021 04:30:00,39757.13,39800,39757.13,39792.85,2922657.2
07/28/2021 04:31:00,39792.85,39804.95,39673.68,39687.12,3184190.5
07/28/2021 04:32:00,39687.13,39766.11,39682.7,39762.18,1252038.9
07/28/2021 04:33:00,39762.18,39781.62,39688.43,39693.33,1131999
07/28/2021 04:34:00,39691.51,39711.69,39650.5,39653.81,1111143.5
07/28/2021 04:35:00,39653.81,39709.11,39653.02,39696.74,917568.7
07/28/2021 04:36:00,39696.73,39745.8,39673.72,39743.81,1193431.2
07/28/2021 04:37:00,39743.99,39743.99,39641.01,39641.59,1117074.5
07/28/2021 04:38:00,39641.58,39693.62,39640.72,39658.33,1647753.4
07/28/2021 04:39:00,39658.33,39666,39605.01,39630.01,2122924
07/28/2021 04:40:00,39630,39657.62,39557.95,39657.61,3545436.5
